Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-2
CGTRNA_RS01215	CGTRNA_RS01215	244016	244219	CsbD family protein	CGTRNA_RS01215	cg0282
CGTRNA_RS02410	CGTRNA_RS02410	495198	495280	tRNA-Tyr	CGTRNA_RS02430 // CGTRNA_RS02425 // CGTRNA_RS02420 // CGTRNA_RS02415 // CGTRNA_RS02410	tRNA_3542
CGTRNA_RS03650	CGTRNA_RS03650	749493	749918	DUF2127 domain-containing protein	CGTRNA_RS03650	cg0836
CGTRNA_RS05920	CGTRNA_RS05920	1243975	1245312	homoserine dehydrogenase	CGTRNA_RS05925 // CGTRNA_RS05920	cg1337
CGTRNA_RS05100	CGTRNA_RS05100	1074806	1076590	VWA domain-containing protein	CGTRNA_RS05100	cg1159
CGTRNA_RS13940	CGTRNA_RS13940	2982052	2982468	VOC family protein	CGTRNA_RS13940	cg3122
CGTRNA_RS10320	CGTRNA_RS10320	2197937	2198935	LacI family DNA-binding transcriptional regulator	CGTRNA_RS10320	cg2314
CGTRNA_RS04275	CGTRNA_RS04275	906860	907270	YccF domain-containing protein	CGTRNA_RS04275 // CGTRNA_RS04270 // CGTRNA_RS04265	cg0970
CGTRNA_RS06225	CGTRNA_RS06225	1311900	1312565	hypothetical protein	CGTRNA_RS06225	cg1402
CGTRNA_RS01025	CGTRNA_RS01025	214122	214526	hypothetical protein	CGTRNA_RS01030 // CGTRNA_RS01025 // CGTRNA_RS01020	cg0244
CGTRNA_RS07115	CGTRNA_RS07115	1496660	1497331	NUDIX hydrolase	xerD // CGTRNA_RS07115 // CGTRNA_RS07110	cg1607
CGTRNA_RS15780	CGTRNA_RS15780	2982548	2982916	hypothetical protein	CGTRNA_RS15780	cg3124
CGTRNA_RS01810	CGTRNA_RS01810	365928	366842	hypothetical protein	CGTRNA_RS01825 // CGTRNA_RS01820 // CGTRNA_RS01815 // CGTRNA_RS01810	cg0416
CGTRNA_RS10325	CGTRNA_RS10325	2199127	2199927	ABC transporter ATP-binding protein	CGTRNA_RS10335 // CGTRNA_RS10330 // CGTRNA_RS10325	cg2315
CGTRNA_RS16240	CGTRNA_RS16240	1641383	1641625	Ltp family lipoprotein	CGTRNA_RS16240	cg1750
CGTRNA_RS13950	CGTRNA_RS13950	2983013	2984545	tripartite tricarboxylate transporter permease	CGTRNA_RS13960 // CGTRNA_RS13955 // CGTRNA_RS13950	cg3125
CGTRNA_RS10335	CGTRNA_RS10335	2200975	2201964	ABC transporter substrate-binding protein	CGTRNA_RS10335 // CGTRNA_RS10330 // CGTRNA_RS10325	cg2318
CGTRNA_RS15885	CGTRNA_RS15885	1373443	1373793	Abi family protein	CGTRNA_RS15885	
fusA	CGTRNA_RS02540	523883	526012	elongation factor G	fusA	cg0583
CGTRNA_RS10345	CGTRNA_RS10345	2202702	2204105	DNA polymerase III subunit epsilon	CGTRNA_RS10345	cg2321
CGTRNA_RS01375	CGTRNA_RS01375	277581	277907	AzlD domain-containing protein	CGTRNA_RS01375 // CGTRNA_RS01370	cg0315
hemL	CGTRNA_RS02235	462556	463869	glutamate-1-semialdehyde 2,1-aminomutase	CGTRNA_RS02255 // CGTRNA_RS02250 // CGTRNA_RS02245 // CGTRNA_RS02240 // hemL // CGTRNA_RS02230 // hemE	cg0518
CGTRNA_RS07885	CGTRNA_RS07885	1665879	1667972	transketolase	pgl // CGTRNA_RS07900 // CGTRNA_RS07895 // tal // CGTRNA_RS07885	cg1774
CGTRNA_RS13955	CGTRNA_RS13955	2984545	2985111	tripartite tricarboxylate transporter TctB family protein	CGTRNA_RS13960 // CGTRNA_RS13955 // CGTRNA_RS13950	cg3126
CGTRNA_RS10350	CGTRNA_RS10350	2204190	2204798	hypothetical protein	CGTRNA_RS10350	cg2322
treY	CGTRNA_RS10355	2204884	2207319	malto-oligosyltrehalose synthase	treY	cg2323
CGTRNA_RS06455	CGTRNA_RS06455	1361632	1362762	isochorismate synthase MenF	CGTRNA_RS06455	cg1462
CGTRNA_RS03655	CGTRNA_RS03655	750356	755158	DEAD/DEAH box helicase	CGTRNA_RS03660 // CGTRNA_RS03655	cg0838
CGTRNA_RS02125	CGTRNA_RS02125	436976	438043	HAD-IB family hydrolase	CGTRNA_RS02125	cg0495
CGTRNA_RS05105	CGTRNA_RS05105	1076795	1077022	MFS transporter	CGTRNA_RS05105	cg1160
CGTRNA_RS13960	CGTRNA_RS13960	2985111	2986115	tripartite tricarboxylate transporter substrate binding protein	CGTRNA_RS13960 // CGTRNA_RS13955 // CGTRNA_RS13950	cg3127
CGTRNA_RS10360	CGTRNA_RS10360	2207363	2208388	GTP pyrophosphokinase family protein	CGTRNA_RS10360	cg2324
CGTRNA_RS04280	CGTRNA_RS04280	907260	907862	DedA family protein	pgi // CGTRNA_RS04285 // CGTRNA_RS16120 // CGTRNA_RS04280	cg0971
CGTRNA_RS10365	CGTRNA_RS10365	2208723	2209109	hypothetical protein	CGTRNA_RS10365	cg2326
CGTRNA_RS02480	CGTRNA_RS02480	507668	509083	NAD(P)/FAD-dependent oxidoreductase	CGTRNA_RS02485 // CGTRNA_RS02480 // cadA	cg0570
CGTRNA_RS14590	CGTRNA_RS14590	3122987	3124510	16S ribosomal RNA	CGTRNA_RS14590	cgr18
CGTRNA_RS13965	CGTRNA_RS13965	2986409	2987143	AAA family ATPase	CGTRNA_RS13970 // CGTRNA_RS13965	cg3128
CGTRNA_RS02635	CGTRNA_RS02635	538714	539412	LppP/LprE family lipoprotein	CGTRNA_RS02635	cg0607
CGTRNA_RS14090	CGTRNA_RS14090	3010857	3010930	tRNA-Gly	CGTRNA_RS14090	tRNA_3587
CGTRNA_RS05655	CGTRNA_RS05655	1177773	1181516	ABC transporter ATP-binding protein	CGTRNA_RS05655	cg1281
CGTRNA_RS10370	CGTRNA_RS10370	2209537	2210586	hypothetical protein	CGTRNA_RS10370	cg2328
CGTRNA_RS13970	CGTRNA_RS13970	2987140	2987862	AAA family ATPase	CGTRNA_RS13970 // CGTRNA_RS13965	cg3129
coaD	CGTRNA_RS06640	1395209	1395691	pantetheine-phosphate adenylyltransferase	coaD // rsmD // CGTRNA_RS06630 // CGTRNA_RS06625 // CGTRNA_RS06620 // CGTRNA_RS06615 // CGTRNA_RS06610	cg1501
CGTRNA_RS13975	CGTRNA_RS13975	2987922	2989133	MFS transporter	CGTRNA_RS13975	cg3130
secF	CGTRNA_RS08290	1759058	1760269	protein translocase subunit SecF	secD // secF	cg1865
CGTRNA_RS10375	CGTRNA_RS10375	2210713	2211759	LLM class flavin-dependent oxidoreductase	CGTRNA_RS10375	cg2329
CGTRNA_RS05480	CGTRNA_RS05480	1142741	1143943	membrane protein	CGTRNA_RS05480	cg1245
CGTRNA_RS13980	CGTRNA_RS13980	2989130	2990455	M20/M25/M40 family metallo-hydrolase	CGTRNA_RS13980	cg3131
tsaE	CGTRNA_RS02965	602081	602578	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	tsaE // CGTRNA_RS02960	cg0682
CGTRNA_RS08445	CGTRNA_RS08445	1787201	1788316	hypothetical protein	CGTRNA_RS08445	cg1896
CGTRNA_RS10380	CGTRNA_RS10380	2211767	2212147	RNA-binding S4 domain-containing protein	CGTRNA_RS10390 // CGTRNA_RS10385 // CGTRNA_RS10380	cg2330
CGTRNA_RS16085	CGTRNA_RS16085	1557302	1557640	hypothetical protein	CGTRNA_RS16085 // CGTRNA_RS07405 // CGTRNA_RS07400	cg1670
CGTRNA_RS13985	CGTRNA_RS13985	2990790	2992529	cytochrome b/b6 domain-containing protein	CGTRNA_RS13985	cg3132
CGTRNA_RS10385	CGTRNA_RS10385	2212158	2212391	hypothetical protein	CGTRNA_RS10390 // CGTRNA_RS10385 // CGTRNA_RS10380	cg2331
CGTRNA_RS01225	CGTRNA_RS01225	244467	244820	hypothetical protein	CGTRNA_RS01225	cg0283
CGTRNA_RS13990	CGTRNA_RS13990	2992845	2993873	ATP-binding cassette domain-containing protein	CGTRNA_RS14000 // CGTRNA_RS13995 // CGTRNA_RS13990	cg3133
CGTRNA_RS10390	CGTRNA_RS10390	2212422	2213075	YigZ family protein	CGTRNA_RS10390 // CGTRNA_RS10385 // CGTRNA_RS10380	cg2332
hrpA	CGTRNA_RS09430	2001526	2005434	ATP-dependent RNA helicase HrpA	hrpA	cg2111
CGTRNA_RS03660	CGTRNA_RS03660	755167	758868	hypothetical protein	CGTRNA_RS03660 // CGTRNA_RS03655	cg0839
CGTRNA_RS01580	CGTRNA_RS01580	314944	316005	CpaE-like family protein	CGTRNA_RS01610 // CGTRNA_RS01605 // CGTRNA_RS01600 // CGTRNA_RS01595 // CGTRNA_RS01590 // CGTRNA_RS01585 // CGTRNA_RS01580	cg0362
CGTRNA_RS05925	CGTRNA_RS05925	1245323	1246252	homoserine kinase	CGTRNA_RS05925 // CGTRNA_RS05920	cg1338
CGTRNA_RS15875	CGTRNA_RS15875	1076991	1077113	MarR family transcriptional regulator	CGTRNA_RS15875	cg1161
CGTRNA_RS13995	CGTRNA_RS13995	2993864	2994508	energy-coupling factor transporter transmembrane protein EcfT	CGTRNA_RS14000 // CGTRNA_RS13995 // CGTRNA_RS13990	cg3134
treZ	CGTRNA_RS10395	2213130	2214854	malto-oligosyltrehalose trehalohydrolase	treZ	cg2333
CGTRNA_RS09125	CGTRNA_RS09125	1940000	1940482	hypothetical protein	CGTRNA_RS09125	cg2048
CGTRNA_RS16120	CGTRNA_RS16120	907859	908017	hypothetical protein	pgi // CGTRNA_RS04285 // CGTRNA_RS16120 // CGTRNA_RS04280	
CGTRNA_RS08400	CGTRNA_RS08400	1777557	1777631	tRNA-Val	CGTRNA_RS08405 // CGTRNA_RS08400 // CGTRNA_RS08395 // CGTRNA_RS08390 // CGTRNA_RS08385 // CGTRNA_RS08380	tRNA_3566
CGTRNA_RS14000	CGTRNA_RS14000	2994511	2995263	hypothetical protein	CGTRNA_RS14000 // CGTRNA_RS13995 // CGTRNA_RS13990	cg3135
ilvA	CGTRNA_RS10400	2214893	2216203	threonine ammonia-lyase IlvA	ilvA	cg2334
CGTRNA_RS01030	CGTRNA_RS01030	214528	215163	MOSC domain-containing protein	CGTRNA_RS01030 // CGTRNA_RS01025 // CGTRNA_RS01020	cg0245
CGTRNA_RS06300	CGTRNA_RS06300	1327943	1328521	NADPH-dependent F420 reductase	CGTRNA_RS06300	cg1421
CGTRNA_RS07620	CGTRNA_RS07620	1604127	1604936	hypothetical protein	CGTRNA_RS07625 // CGTRNA_RS07620	cg1715
CGTRNA_RS14005	CGTRNA_RS14005	2995416	2996234	NADPH-dependent oxidoreductase	CGTRNA_RS14005	cg3136
CGTRNA_RS08455	CGTRNA_RS08455	1790552	1791037	hypothetical protein	CGTRNA_RS08460 // CGTRNA_RS08455	cg1898
CGTRNA_RS14010	CGTRNA_RS14010	2996301	2997206	nucleoside hydrolase	CGTRNA_RS14010	cg3137
CGTRNA_RS10405	CGTRNA_RS10405	2216418	2216927	hypothetical protein	CGTRNA_RS10405	cg2336
CGTRNA_RS05110	CGTRNA_RS05110	1077133	1077378	exodeoxyribonuclease VII small subunit	CGTRNA_RS05115 // CGTRNA_RS05110	cg1162
CGTRNA_RS03100	CGTRNA_RS03100	628035	628856	hypothetical protein	CGTRNA_RS03100	cg0712
rpmD	CGTRNA_RS02740	557375	557560	50S ribosomal protein L30	rplO // rpmD // rpsE // rplR // rplF // rpsH	cg0632
CGTRNA_RS14015	CGTRNA_RS14015	2997685	2998662	SPFH domain-containing protein	CGTRNA_RS14025 // CGTRNA_RS14020 // CGTRNA_RS14015	cg3138
CGTRNA_RS10410	CGTRNA_RS10410	2217035	2218240	cobalamin-independent methionine synthase II family protein	CGTRNA_RS10410	cg2337
CGTRNA_RS14020	CGTRNA_RS14020	2998667	2998861	hypothetical protein	CGTRNA_RS14025 // CGTRNA_RS14020 // CGTRNA_RS14015	cg3139
CGTRNA_RS09440	CGTRNA_RS09440	2006036	2006236	hypothetical protein	CGTRNA_RS09440	
CGTRNA_RS02310	CGTRNA_RS02310	475485	477047	aldehyde dehydrogenase (NADP(+))	CGTRNA_RS02315 // CGTRNA_RS02310	cg0535
rarD	CGTRNA_RS10420	2222050	2222892	EamA family transporter RarD	rarD	cg2339
CGTRNA_RS03665	CGTRNA_RS03665	759100	759753	TIGR03089 family protein	CGTRNA_RS03665	cg0840
CGTRNA_RS05115	CGTRNA_RS05115	1077399	1078652	exodeoxyribonuclease VII large subunit	CGTRNA_RS05115 // CGTRNA_RS05110	cg1163
CGTRNA_RS04285	CGTRNA_RS04285	908027	909202	CynX/NimT family MFS transporter	pgi // CGTRNA_RS04285 // CGTRNA_RS16120 // CGTRNA_RS04280	cg0972
uvrA	CGTRNA_RS06890	1443954	1446803	excinuclease ABC subunit UvrA	uvrA	cg1560
CGTRNA_RS01710	CGTRNA_RS01710	340567	341277	glycosyltransferase family 2 protein	CGTRNA_RS01710 // CGTRNA_RS01705	cg0394
CGTRNA_RS16140	CGTRNA_RS16140	1819944	1820249	hypothetical protein	CGTRNA_RS08645 // CGTRNA_RS16140	cg1942
CGTRNA_RS02365	CGTRNA_RS02365	485383	485988	Type 1 glutamine amidotransferase-like domain-containing protein	CGTRNA_RS02380 // CGTRNA_RS02375 // CGTRNA_RS02370 // CGTRNA_RS02365	cg0550
CGTRNA_RS14025	CGTRNA_RS14025	2998858	2999448	DNA-3-methyladenine glycosylase I	CGTRNA_RS14025 // CGTRNA_RS14015 // CGTRNA_RS14020	cg3140
CGTRNA_RS10425	CGTRNA_RS10425	2223225	2223695	transporter substrate-binding domain-containing protein	CGTRNA_RS10430 // CGTRNA_RS10425	cg2340
CGTRNA_RS16235	CGTRNA_RS16235	280946	281401	monovalent cation/H+ antiporter subunit E	CGTRNA_RS01425 // CGTRNA_RS01420 // CGTRNA_RS01415 // CGTRNA_RS16235 // CGTRNA_RS16230 // CGTRNA_RS01400	cg0323
CGTRNA_RS00290	CGTRNA_RS00290	54179	55549	MBL fold metallo-hydrolase	CGTRNA_RS00290	cg0071
CGTRNA_RS08210	CGTRNA_RS08210	1742038	1742688	hypothetical protein	CGTRNA_RS08210 // CGTRNA_RS08205 // CGTRNA_RS08200	cg1845
CGTRNA_RS14030	CGTRNA_RS14030	2999445	3000605	hemoglobin flavoprotein	CGTRNA_RS14030	cg3141
CGTRNA_RS10430	CGTRNA_RS10430	2223692	2224678	cation transporter	CGTRNA_RS10430 // CGTRNA_RS10425	cg2341
CGTRNA_RS05120	CGTRNA_RS05120	1078766	1079743	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	CGTRNA_RS05120	cg1164
CGTRNA_RS08760	CGTRNA_RS08760	1850511	1851260	hypothetical protein	CGTRNA_RS08765 // CGTRNA_RS08760 // CGTRNA_RS08755 // CGTRNA_RS08750 // CGTRNA_RS08745	cg1970
CGTRNA_RS10435	CGTRNA_RS10435	2224713	2225600	SDR family oxidoreductase	CGTRNA_RS10435	cg2342
CGTRNA_RS10440	CGTRNA_RS10440	2225768	2228422	FAD/NAD(P)-binding protein	CGTRNA_RS10445 // CGTRNA_RS10440	cg2343
CGTRNA_RS14035	CGTRNA_RS14035	3000867	3001472	DUF1707 domain-containing protein	CGTRNA_RS14035	cg3142
CGTRNA_RS01230	CGTRNA_RS01230	244903	247308	MMPL family transporter	tgt // CGTRNA_RS01230	cg0284
CGTRNA_RS02415	CGTRNA_RS02415	495903	495975	tRNA-Thr	CGTRNA_RS02430 // CGTRNA_RS02425 // CGTRNA_RS02420 // CGTRNA_RS02415 // CGTRNA_RS02410	tRNA_3543
CGTRNA_RS03670	CGTRNA_RS03670	759834	762269	DUF262 domain-containing protein	CGTRNA_RS03670	cg0841
CGTRNA_RS05930	CGTRNA_RS05930	1246308	1247000	transcriptional regulator	CGTRNA_RS05930	cg1340
CGTRNA_RS05125	CGTRNA_RS05125	1079785	1080483	amino acid permease	CGTRNA_RS05125	cg1165
CGTRNA_RS09210	CGTRNA_RS09210	1954015	1956294	type IA DNA topoisomerase	CGTRNA_RS09210	cg2064
pgi	CGTRNA_RS04290	909227	910849	glucose-6-phosphate isomerase	pgi // CGTRNA_RS04285 // CGTRNA_RS16120 // CGTRNA_RS04280	cg0973
CGTRNA_RS14040	CGTRNA_RS14040	3001574	3002200	NADPH-dependent F420 reductase	CGTRNA_RS14040	cg3143
CGTRNA_RS10445	CGTRNA_RS10445	2228392	2229345	pyridoxal-phosphate dependent enzyme	CGTRNA_RS10445 // CGTRNA_RS10440	cg2344
CGTRNA_RS01035	CGTRNA_RS01035	215160	216092	glycosyltransferase family 2 protein	CGTRNA_RS01040 // CGTRNA_RS01035	cg0246
xerD	CGTRNA_RS07120	1497328	1498242	site-specific tyrosine recombinase XerD	xerD // CGTRNA_RS07115 // CGTRNA_RS07110	cg1608
CGTRNA_RS07785	CGTRNA_RS07785	1642034	1642471	tyrosine-type recombinase/integrase	CGTRNA_RS07785	cg1752
CGTRNA_RS14045	CGTRNA_RS14045	3002187	3002980	transcription antiterminator	CGTRNA_RS16180 // CGTRNA_RS14055 // CGTRNA_RS14045	cg3144
CGTRNA_RS10450	CGTRNA_RS10450	2229451	2230032	hypothetical protein	lspA // CGTRNA_RS10455 // CGTRNA_RS10450	cg2345
CGTRNA_RS00110	CGTRNA_RS00110	20073	21068	M56 family metallopeptidase	CGTRNA_RS00110 // CGTRNA_RS00105	cg0029
CGTRNA_RS05130	CGTRNA_RS05130	1080687	1082159	AI-2E family transporter	CGTRNA_RS05130	cg1166
CGTRNA_RS06535	CGTRNA_RS06535	1374140	1374601	hypothetical protein	CGTRNA_RS06535	cg1478
tuf	CGTRNA_RS02545	526375	527565	elongation factor Tu	tuf	cg0587
CGTRNA_RS10455	CGTRNA_RS10455	2230032	2230964	RluA family pseudouridine synthase	lspA // CGTRNA_RS10455 // CGTRNA_RS10450	cg2346
CGTRNA_RS00765	CGTRNA_RS00765	156849	157541	alpha-ketoglutarate-dependent dioxygenase AlkB	CGTRNA_RS00765	cg0181
tal	CGTRNA_RS07890	1668140	1669222	transaldolase	pgl // CGTRNA_RS07900 // CGTRNA_RS07895 // tal // CGTRNA_RS07885	cg1776
map	CGTRNA_RS02815	571478	572272	type I methionyl aminopeptidase	map	cg0649
CGTRNA_RS14055	CGTRNA_RS14055	3003005	3003367	glycoside hydrolase family 1 protein	CGTRNA_RS16180 // CGTRNA_RS14055 // CGTRNA_RS14045	cg3146
lspA	CGTRNA_RS10460	2230964	2231545	signal peptidase II	lspA // CGTRNA_RS10455 // CGTRNA_RS10450	cg2347
CGTRNA_RS05980	CGTRNA_RS05980	1260894	1261457	molybdenum cofactor guanylyltransferase	CGTRNA_RS05985 // CGTRNA_RS05980	cg1350
CGTRNA_RS03675	CGTRNA_RS03675	762376	764676	ATP-dependent helicase	CGTRNA_RS03690 // CGTRNA_RS03685 // CGTRNA_RS03680 // CGTRNA_RS03675	cg0842
CGTRNA_RS02130	CGTRNA_RS02130	438190	438426	glutaredoxin family protein	CGTRNA_RS02130	cg0496
metS	CGTRNA_RS05135	1082252	1082434	methionine/alanine import NSS transporter subunit MetS	CGTRNA_RS05140 // metS	cg1167
CGTRNA_RS04295	CGTRNA_RS04295	910989	912167	HNH endonuclease	CGTRNA_RS04295	cg0974
CGTRNA_RS01560	CGTRNA_RS01560	310132	311328	MarP family serine protease	CGTRNA_RS01560	cg0356
CGTRNA_RS10465	CGTRNA_RS10465	2231865	2232725	hypothetical protein	CGTRNA_RS10465	cg2348
CGTRNA_RS00640	CGTRNA_RS00640	130146	130802	DUF1801 domain-containing protein	CGTRNA_RS00640	cg0152
CGTRNA_RS16180	CGTRNA_RS16180	3003404	3003646	beta-glucosidase	CGTRNA_RS16180 // CGTRNA_RS14055 // CGTRNA_RS14045	cg3147
CGTRNA_RS10470	CGTRNA_RS10470	2232883	2234535	ABC-F family ATP-binding cassette domain-containing protein	CGTRNA_RS10470	cg2349
bioB	CGTRNA_RS00390	74491	75495	biotin synthase BioB	CGTRNA_RS00400 // CGTRNA_RS00395 // bioB	cg0095
CGTRNA_RS08215	CGTRNA_RS08215	1742782	1743378	TetR/AcrR family transcriptional regulator	CGTRNA_RS08220 // CGTRNA_RS08215	cg1846
CGTRNA_RS10475	CGTRNA_RS10475	2234539	2235141	hypothetical protein	CGTRNA_RS10475	cg2350
CGTRNA_RS05140	CGTRNA_RS05140	1082438	1084129	sodium-dependent transporter	CGTRNA_RS05140 // metS	cg1169
CGTRNA_RS10480	CGTRNA_RS10480	2235453	2236430	asparaginase	CGTRNA_RS10480	cg2352
CGTRNA_RS01885	CGTRNA_RS01885	383980	385191	O-antigen ligase family protein	CGTRNA_RS01885	cg0437
CGTRNA_RS10490	CGTRNA_RS10490	2236691	2237896	IS30-like element ISCg2 family transposase	CGTRNA_RS10490	cg2354
CGTRNA_RS07420	CGTRNA_RS07420	1558478	1559290	polyprenol monophosphomannose synthase	CGTRNA_RS07430 // lnt // CGTRNA_RS07420	cg1672
CGTRNA_RS10495	CGTRNA_RS10495	2238566	2239969	DNA polymerase IV	CGTRNA_RS10495	cg2355
CGTRNA_RS10500	CGTRNA_RS10500	2240057	2240917	EamA family transporter	CGTRNA_RS10510 // CGTRNA_RS10505 // CGTRNA_RS10500	cg2356
tgt	CGTRNA_RS01235	247320	248576	tRNA guanosine(34) transglycosylase Tgt	tgt // CGTRNA_RS01230	cg0285
CGTRNA_RS08905	CGTRNA_RS08905	1886702	1888522	zinc-ribbon domain-containing protein	CGTRNA_RS08905	cg2001
CGTRNA_RS01680	CGTRNA_RS01680	335010	336116	S-(hydroxymethyl)mycothiol dehydrogenase	CGTRNA_RS01690 // CGTRNA_RS01685 // CGTRNA_RS01680	cg0387
CGTRNA_RS03680	CGTRNA_RS03680	764707	771009	DEAD/DEAH box helicase	CGTRNA_RS03690 // CGTRNA_RS03685 // CGTRNA_RS03680 // CGTRNA_RS03675	cg0843
narI	CGTRNA_RS05935	1247185	1247964	respiratory nitrate reductase subunit gamma	CGTRNA_RS05955 // CGTRNA_RS05950 // narH // narJ // narI	cg1341
CGTRNA_RS05145	CGTRNA_RS05145	1084417	1085652	esterase family protein	CGTRNA_RS05145	cg1170
fecE	CGTRNA_RS16185	3003674	3003882	Fe(3+) dicitrate ABC transporter ATP-binding protein FecE	fecE	
CGTRNA_RS10505	CGTRNA_RS10505	2240929	2241933	MerR family transcriptional regulator	CGTRNA_RS10510 // CGTRNA_RS10505 // CGTRNA_RS10500	cg2357
CGTRNA_RS09130	CGTRNA_RS09130	1940618	1941610	hypothetical protein	CGTRNA_RS09130	cg2049
CGTRNA_RS04300	CGTRNA_RS04300	912323	912628	chorismate mutase	CGTRNA_RS04300	cg0975
CGTRNA_RS08405	CGTRNA_RS08405	1777665	1777737	tRNA-Gly	CGTRNA_RS08405 // CGTRNA_RS08400 // CGTRNA_RS08395 // CGTRNA_RS08390 // CGTRNA_RS08385 // CGTRNA_RS08380	tRNA_3567
CGTRNA_RS10510	CGTRNA_RS10510	2241927	2242541	hypothetical protein	CGTRNA_RS10510 // CGTRNA_RS10505 // CGTRNA_RS10500	cg2358
CGTRNA_RS01040	CGTRNA_RS01040	216114	216713	VOC family protein	CGTRNA_RS01040 // CGTRNA_RS01035	cg0247
CGTRNA_RS07625	CGTRNA_RS07625	1604939	1606099	IS3 family transposase	CGTRNA_RS07625 // CGTRNA_RS07620	cg1716
CGTRNA_RS01760	CGTRNA_RS01760	352694	353641	iron-siderophore ABC transporter substrate-binding protein	CGTRNA_RS01760	cg0405
CGTRNA_RS14065	CGTRNA_RS14065	3004029	3005288	pyridoxal phosphate-dependent aminotransferase	CGTRNA_RS14065	cg3149
CGTRNA_RS10515	CGTRNA_RS10515	2242657	2245821	isoleucine--tRNA ligase	CGTRNA_RS10515	cg2359
crgA	CGTRNA_RS00220	40186	40458	cell division protein CrgA	crgA	cg0055
CGTRNA_RS10520	CGTRNA_RS10520	2246142	2246312	hypothetical protein	CGTRNA_RS10520	cg2360
ychF	CGTRNA_RS05150	1085849	1086934	redox-regulated ATPase YchF	CGTRNA_RS05165 // CGTRNA_RS05160 // CGTRNA_RS05155 // ychF	cg1171
CGTRNA_RS10525	CGTRNA_RS10525	2246436	2247533	DivIVA domain-containing protein	CGTRNA_RS10525	cg2361
CGTRNA_RS03105	CGTRNA_RS03105	629224	630015	hypothetical protein	CGTRNA_RS03110 // CGTRNA_RS03105	cg0713
CGTRNA_RS08090	CGTRNA_RS08090	1715298	1715777	YbjN domain-containing protein	CGTRNA_RS08100 // CGTRNA_RS08095 // CGTRNA_RS08090	cg1821
CGTRNA_RS10530	CGTRNA_RS10530	2248022	2248309	YggT family protein	CGTRNA_RS10530	cg2362
CGTRNA_RS09220	CGTRNA_RS09220	1959919	1960812	pentapeptide repeat-containing protein	CGTRNA_RS09220	cg2066
CGTRNA_RS01990	CGTRNA_RS01990	406549	407418	hypothetical protein	CGTRNA_RS01990	cg0462
CGTRNA_RS14070	CGTRNA_RS14070	3005967	3007172	IS30-like element ISCg2 family transposase	CGTRNA_RS14070	cg3151
CGTRNA_RS10535	CGTRNA_RS10535	2248550	2249008	cell division protein SepF	CGTRNA_RS10535	cg2363
CGTRNA_RS09450	CGTRNA_RS09450	2007864	2008643	DeoR/GlpR transcriptional regulator	CGTRNA_RS09455 // CGTRNA_RS09450	cg2115
CGTRNA_RS00745	CGTRNA_RS00745	151591	152373	TSUP family transporter	CGTRNA_RS00745	cg0176
CGTRNA_RS06895	CGTRNA_RS06895	1446787	1448913	membrane protein	CGTRNA_RS06895	cg1562
CGTRNA_RS02135	CGTRNA_RS02135	438515	439906	glutamyl-tRNA reductase	hemC // CGTRNA_RS02135	cg0497
CGTRNA_RS05660	CGTRNA_RS05660	1181586	1182305	hypothetical protein	CGTRNA_RS05665 // CGTRNA_RS05660	cg1282
CGTRNA_RS03685	CGTRNA_RS03685	771017	775615	class I SAM-dependent DNA methyltransferase	CGTRNA_RS03690 // CGTRNA_RS03685 // CGTRNA_RS03680 // CGTRNA_RS03675	cg0844
CGTRNA_RS05985	CGTRNA_RS05985	1261458	1262669	molybdopterin molybdotransferase MoeA	CGTRNA_RS05985 // CGTRNA_RS05980	cg1351
CGTRNA_RS05155	CGTRNA_RS05155	1086968	1087249	type II toxin-antitoxin system RelE/ParE family toxin	CGTRNA_RS05165 // CGTRNA_RS05160 // CGTRNA_RS05155 // ychF	cg1172
CGTRNA_RS14075	CGTRNA_RS14075	3007487	3008746	YibE/F family protein	CGTRNA_RS14075	cg3153
CGTRNA_RS10540	CGTRNA_RS10540	2249085	2249789	YggS family pyridoxal phosphate-dependent enzyme	CGTRNA_RS10590 // CGTRNA_RS10585 // CGTRNA_RS10580 // CGTRNA_RS10575 // CGTRNA_RS10570 // murG // CGTRNA_RS10560 // ftsQ // ftsZ // pgeF // CGTRNA_RS10540	cg2364
glgB	CGTRNA_RS06125	1288746	1290941	1,4-alpha-glucan branching protein GlgB	CGTRNA_RS06130 // glgB	cg1381
pcrA	CGTRNA_RS04305	912697	914988	DNA helicase PcrA	pcrA	cg0976
ilvN	CGTRNA_RS06355	1341494	1342012	acetolactate synthase small subunit	ilvN // CGTRNA_RS06350 // ilvC	cg1436
CGTRNA_RS08645	CGTRNA_RS08645	1820270	1820641	hypothetical protein	CGTRNA_RS08645 // CGTRNA_RS16140	cg1943
CGTRNA_RS01415	CGTRNA_RS01415	281401	282927	monovalent cation/H+ antiporter subunit D family protein	CGTRNA_RS01425 // CGTRNA_RS01420 // CGTRNA_RS01415 // CGTRNA_RS16235 // CGTRNA_RS16230 // CGTRNA_RS01400	cg0324
CGTRNA_RS14080	CGTRNA_RS14080	3008743	3010062	UDP-glucose/GDP-mannose dehydrogenase family protein	CGTRNA_RS14080	cg3154
